ID,Nombre del Riesgo,Categoría,Descripción,Causa Raíz,Probabilidad,Impacto,Nivel de Riesgo,Estrategia,Plan de Respuesta,Responsable,Trigger
R01,Complejidad de Integración con Sistemas Legacy,Técnico,Las integraciones con Active Directory sistema de RRHH y sistema de nómina presentan mayor complejidad técnica de la estimada,Sistemas legacy tienen más de 10 años sin documentación,4,4,16,Mitigar,1) Iniciar análisis técnico en Semana 2. 2) Asignar desarrollador senior. 3) Contratar consultor externo. 4) Plan B: carga manual temporal,Líder Técnico,Análisis técnico revela APIs no documentadas
R02,Resistencia al Cambio de Usuarios Internacionales,Organizacional,Empleados de Argentina Brasil y Colombia podrían resistirse a adoptar la nueva intranet,Historial de proyectos diseñados solo para Chile sin considerar otros países,4,4,16,Mitigar,1) Incluir representantes de cada país desde Semana 1. 2) Talleres presenciales por país. 3) Embajadores del cambio. 4) Contenido regionalizado. 5) Gamificación,Director de RRHH,Encuestas muestran resistencia o comentarios negativos
R03,Requisitos Ambiguos o Cambiantes,Gestión,Stakeholders podrían tener visiones diferentes sobre funcionalidades clave o solicitar cambios significativos,Falta de claridad inicial expectativas no alineadas requisitos no validados,4,4,16,Mitigar,1) Proceso formal de gestión de cambios. 2) Aprobación firmada de requisitos. 3) Validaciones iterativas con prototipos. 4) Línea base congelada. 5) Reserva de contingencia 13%,Jefe de Proyecto,Solicitud de cambio recibida o stakeholder expresa insatisfacción
R04,Problemas de Rendimiento con Alta Concurrencia,Técnico,Degradación de rendimiento cuando 2700+ usuarios usen simultáneamente la intranet,Subestimación de carga consultas no optimizadas falta de caché,3,4,12,Mitigar,1) Arquitectura escalable con balanceadores. 2) Pruebas de carga desde Sprint 2. 3) Simular 3000 usuarios concurrentes. 4) Caché CDN. 5) Optimizar SQL. 6) Monitoreo en tiempo real,Arquitecto de Software,Pruebas muestran tiempos > 3 segundos
R05,Falta de Disponibilidad de Stakeholders Clave,Organizacional,Director General Dir. TI o Dir. RRHH podrían no estar disponibles para validaciones y decisiones,Stakeholders tienen múltiples responsabilidades y prioridades competitivas,3,3,9,Mitigar,1) Agendar sesiones con 3 semanas anticipación. 2) Designar suplentes con poder de decisión. 3) SLA de respuesta 48 horas. 4) Mecanismos asincrónicos. 5) Reuniones cortas 30 min,Jefe de Proyecto,Stakeholder cancela reunión crítica por segunda vez
R06,Vulnerabilidades de Seguridad No Detectadas,Técnico,Vulnerabilidades críticas que expongan datos sensibles de empleados o accesos no autorizados,Falta de experiencia en desarrollo seguro no seguir OWASP,2,5,10,Mitigar,1) Seguir OWASP Top 10. 2) Code review con checklist seguridad. 3) Herramientas automáticas SonarQube. 4) Auditoría externa Semana 14. 5) Pruebas de penetración. 6) Capacitar equipo. 7) Encriptación. 8) MFA,Arquitecto / CISO,Herramienta detecta vulnerabilidad o auditoría encuentra issues
R07,Rotación de Personal Clave del Proyecto,Organizacional,Arquitecto Líder Técnico o Diseñador UX podrían renunciar durante el desarrollo,Mercado competitivo ofertas atractivas sobrecarga de trabajo,3,4,12,Mitigar,1) Documentar decisiones en Confluence. 2) Knowledge sharing semanal. 3) Pair programming. 4) Identificar backups. 5) Incentivos retención. 6) Reuniones 1:1 mensuales. 7) Handover 2 semanas,Director de TI,Recurso manifiesta intención de salir o recibe oferta
R08,Cambios Regulatorios en Protección de Datos,Externo,Cambios en leyes de Brasil Argentina o Colombia podrían requerir modificaciones en seguridad,Legislaciones en evolución gobiernos agregan requisitos basados en GDPR,2,3,6,Aceptar y Monitorear,1) Arquitectura flexible. 2) Monitoreo mensual de cambios regulatorios. 3) Privacy by design. 4) Módulo de consentimientos configurable. 5) Reserva para ajustes,Área Legal / JP,Legal reporta nueva regulación aprobada
R09,Fallas en Infraestructura Cloud Durante Go-Live,Técnico,Fallas del proveedor cloud durante go-live podrían impedir disponibilidad,Dependencia de terceros problemas de red ataques DDoS,1,5,5,Transferir y Mitigar,1) SLA premium 99.99%. 2) Arquitectura multi-zona. 3) Prueba de failover. 4) Plan de rollback 1 hora. 5) Comunicación proactiva. 6) Soporte 24/7. 7) Go-live fuera de peak,Ingeniero DevOps,Alertas de monitoreo indican problemas de disponibilidad
R10,Baja Adopción Post Go-Live,Organizacional,Tasa de adopción podría estancarse en 60-70% en lugar de 100%,Inercia organizacional falta de motivación capacitación insuficiente,3,4,12,Mitigar,1) Intranet como ÚNICO canal para trámites. 2) Gamificación. 3) Contenido de valor. 4) Capacitación 100%. 5) Soporte extendido. 6) Monitoreo diario. 7) Comunicación de líderes. 8) Early adopters,Director RRHH / JP,Adopción < 80% después de 2 semanas
